country	detected	healed	deceased	date
Indien	3	0	0	03.02.20
Großbritannien	2	0	0	03.02.20
Italien	2	0	0	03.02.20
Philippinen	2	0	1	03.02.20
Russland	2	0	0	03.02.20
Finnland	1	0	0	03.02.20
Kambodscha	1	0	0	03.02.20
Nepal	1	0	0	03.02.20
Schweden	1	0	0	03.02.20
Spanien	1	0	0	03.02.20
Sri Lanka	1	0	0	03.02.20
China	23707	843	491	04.02.20
Thailand	25	5	0	04.02.20
Singapur	24	0	0	04.02.20
Japan	22	1	0	04.02.20
Südkorea	16	0	0	04.02.20
Australien	13	2	0	04.02.20
Taiwan	11	0	0	04.02.20
USA	11	0	0	04.02.20
Deutschland	10	0	0	04.02.20
Malaysia	10	0	0	04.02.20
Vietnam	8	1	0	04.02.20
Frankreich	6	0	0	04.02.20
Vereinigte Arabische Emirate	5	0	0	04.02.20
Kanada	4	0	0	04.02.20
Indien	3	0	0	04.02.20
Großbritannien	2	0	0	04.02.20
Italien	2	0	0	04.02.20
Philippinen	2	0	1	04.02.20
Russland	2	0	0	04.02.20
Belgien	1	0	0	04.02.20
Finnland	1	0	0	04.02.20
Kambodscha	1	0	0	04.02.20
Nepal	1	0	0	04.02.20
Schweden	1	0	0	04.02.20
Spanien	1	0	0	04.02.20
Sri Lanka	1	0	0	04.02.20
China	27440	1115	563	05.02.20
Singapur	28	0	0	05.02.20
Thailand	25	5	0	05.02.20
Japan	22	1	0	05.02.20
Südkorea	19	0	0	05.02.20
Australien	13	2	0	05.02.20
Malaysia	12	0	0	05.02.20
Taiwan	11	0	0	05.02.20
USA	11	0	0	05.02.20
Deutschland	10	0	0	05.02.20
Vietnam	8	1	0	05.02.20
Frankreich	6	0	0	05.02.20
Kanada	5	0	0	05.02.20
Vereinigte Arabische Emirate	5	0	0	05.02.20
Indien	3	0	0	05.02.20
Großbritannien	2	0	0	05.02.20
Italien	2	0	0	05.02.20
Philippinen	2	0	1	05.02.20
Russland	2	0	0	05.02.20
Belgien	1	0	0	05.02.20
Finnland	1	0	0	05.02.20
Kambodscha	1	0	0	05.02.20
Nepal	1	0	0	05.02.20
Schweden	1	0	0	05.02.20
Spanien	1	0	0	05.02.20
Sri Lanka	1	0	0	05.02.20
China	30587	1477	633	06.02.20
Japan	45	1	0	06.02.20
Singapur	28	0	0	06.02.20
Thailand	25	5	0	06.02.20
Südkorea	23	0	0	06.02.20
Taiwan	16	1	0	06.02.20
Australien	14	2	0	06.02.20
Malaysia	12	0	0	06.02.20
Deutschland	11	0	0	06.02.20
USA	11	0	0	06.02.20
Vietnam	10	1	0	06.02.20
Frankreich	6	0	0	06.02.20
Kanada	5	0	0	06.02.20
Vereinigte Arabische Emirate	5	0	0	06.02.20
Indien	3	0	0	06.02.20
Großbritannien	2	0	0	06.02.20
Italien	2	0	0	06.02.20
Philippinen	2	0	1	06.02.20
Russland	2	0	0	06.02.20
Belgien	1	0	0	06.02.20
Finnland	1	0	0	06.02.20
Kambodscha	1	0	0	06.02.20
Nepal	1	0	0	06.02.20
Schweden	1	0	0	06.02.20
Spanien	1	0	0	06.02.20
Sri Lanka	1	0	0	06.02.20
China	34110	1999	718	07.02.20
Kreuzfahrtschiffe und Sonstige	61	0	0	07.02.20
Singapur	30	0	0	07.02.20
Japan	25	1	0	07.02.20
Thailand	25	5	0	07.02.20
Südkorea	24	1	0	07.02.20
Taiwan	16	1	0	07.02.20
Australien	15	2	0	07.02.20
Deutschland	12	0	0	07.02.20
Malaysia	12	1	0	07.02.20
USA	11	0	0	07.02.20
Vietnam	10	1	0	07.02.20
Kanada	7	0	0	07.02.20
Frankreich	6	0	0	07.02.20
Vereinigte Arabische Emirate	5	0	0	07.02.20
Großbritannien	3	0	0	07.02.20
Indien	3	0	0	07.02.20
Italien	3	0	0	07.02.20
Philippinen	3	0	1	07.02.20
Russland	2	0	0	07.02.20
Belgien	1	0	0	07.02.20
Finnland	1	0	0	07.02.20
Kambodscha	1	0	0	07.02.20
Nepal	1	0	0	07.02.20
Schweden	1	0	0	07.02.20
Spanien	1	0	0	07.02.20
Sri Lanka	1	0	0	07.02.20
China	36814	2596	805	08.02.20
Kreuzfahrtschiffe und Sonstige	61	0	0	08.02.20
Singapur	33	2	0	08.02.20
Thailand	32	10	0	08.02.20
Japan	25	1	0	08.02.20
Südkorea	24	1	0	08.02.20
Taiwan	17	1	0	08.02.20
Malaysia	16	1	0	08.02.20
Australien	15	2	0	08.02.20
Vietnam	13	1	0	08.02.20
Deutschland	12	0	0	08.02.20
Frankreich	11	0	0	08.02.20
USA	11	0	0	08.02.20
Kanada	7	0	0	08.02.20
Vereinigte Arabische Emirate	7	0	0	08.02.20
Großbritannien	3	0	0	08.02.20
Indien	3	0	0	08.02.20
Italien	3	0	0	08.02.20
Philippinen	3	0	1	08.02.20
Russland	2	0	0	08.02.20
Belgien	1	0	0	08.02.20
Finnland	1	0	0	08.02.20
Kambodscha	1	0	0	08.02.20
Nepal	1	0	0	08.02.20
Schweden	1	0	0	08.02.20
Spanien	1	0	0	08.02.20
Sri Lanka	1	1	0	08.02.20
China	39829	3219	905	09.02.20
Kreuzfahrtschiffe und Sonstige	64	0	0	09.02.20
Singapur	40	2	0	09.02.20
Thailand	32	10	0	09.02.20
Japan	26	1	0	09.02.20
Südkorea	25	3	0	09.02.20
Taiwan	18	1	0	09.02.20
Malaysia	16	1	0	09.02.20
Australien	15	2	0	09.02.20
Vietnam	13	1	0	09.02.20
Deutschland	12	0	0	09.02.20
Frankreich	11	0	0	09.02.20
USA	11	3	0	09.02.20
Kanada	7	0	0	09.02.20
Vereinigte Arabische Emirate	7	0	0	09.02.20
Großbritannien	3	0	0	09.02.20
Indien	3	0	0	09.02.20
Italien	3	0	0	09.02.20
Philippinen	3	0	1	09.02.20
Russland	2	0	0	09.02.20
Spanien	2	0	0	09.02.20
Belgien	1	0	0	09.02.20
Finnland	1	0	0	09.02.20
Kambodscha	1	0	0	09.02.20
Nepal	1	0	0	09.02.20
Schweden	1	0	0	09.02.20
Sri Lanka	1	1	0	09.02.20
China	42354	3918	1012	10.02.20
Kreuzfahrtschiffe und Sonstige	135	0	0	10.02.20
Singapur	45	2	0	10.02.20
Thailand	32	10	0	10.02.20
Südkorea	27	3	0	10.02.20
Japan	26	4	0	10.02.20
Malaysia	18	1	0	10.02.20
Taiwan	18	1	0	10.02.20
Australien	15	2	0	10.02.20
Vietnam	14	1	0	10.02.20
Deutschland	12	0	0	10.02.20
Frankreich	11	0	0	10.02.20
USA	11	3	0	10.02.20
Großbritannien	8	0	0	10.02.20
Vereinigte Arabische Emirate	8	0	0	10.02.20
Kanada	7	0	0	10.02.20
Indien	3	0	0	10.02.20
Italien	3	0	0	10.02.20
Philippinen	3	0	1	10.02.20
Russland	2	0	0	10.02.20
Spanien	2	0	0	10.02.20
Belgien	1	0	0	10.02.20
Finnland	1	0	0	10.02.20
Kambodscha	1	0	0	10.02.20
Nepal	1	0	0	10.02.20
Schweden	1	0	0	10.02.20
Sri Lanka	1	1	0	10.02.20
China	44386	4636	1112	11.02.20
Kreuzfahrtschiffe und Sonstige	135	0	0	11.02.20
Singapur	47	9	0	11.02.20
Thailand	33	10	0	11.02.20
Südkorea	28	3	0	11.02.20
Japan	26	9	0	11.02.20
Malaysia	18	3	0	11.02.20
Taiwan	18	1	0	11.02.20
Australien	15	2	0	11.02.20
Vietnam	15	6	0	11.02.20
Deutschland	14	0	0	11.02.20
USA	12	3	0	11.02.20
Frankreich	11	0	0	11.02.20
Großbritannien	8	0	0	11.02.20
Vereinigte Arabische Emirate	8	0	0	11.02.20
Kanada	7	0	0	11.02.20
Indien	3	0	0	11.02.20
Italien	3	0	0	11.02.20
Philippinen	3	0	1	11.02.20
Russland	2	0	0	11.02.20
Spanien	2	0	0	11.02.20
Belgien	1	0	0	11.02.20
Finnland	1	0	0	11.02.20
Kambodscha	1	0	0	11.02.20
Nepal	1	0	0	11.02.20
Schweden	1	0	0	11.02.20
Sri Lanka	1	1	0	11.02.20
China	44759	5082	1117	12.02.20
Kreuzfahrtschiffe und Sonstige	175	0	0	12.02.20
Singapur	50	15	0	12.02.20
Thailand	33	10	0	12.02.20
Japan	28	9	0	12.02.20
Südkorea	28	7	0	12.02.20
Malaysia	18	3	0	12.02.20
Taiwan	18	1	0	12.02.20
Australien	15	2	0	12.02.20
Vietnam	15	6	0	12.02.20
Deutschland	14	0	0	12.02.20
USA	12	3	0	12.02.20
Frankreich	11	2	0	12.02.20
Großbritannien	9	1	0	12.02.20
Vereinigte Arabische Emirate	8	1	0	12.02.20
Kanada	7	1	0	12.02.20
Indien	3	0	0	12.02.20
Italien	3	0	0	12.02.20
Philippinen	3	1	1	12.02.20
Russland	2	2	0	12.02.20
Spanien	2	0	0	12.02.20
Belgien	1	0	0	12.02.20
Finnland	1	1	0	12.02.20
Kambodscha	1	1	0	12.02.20
Nepal	1	1	0	12.02.20
Schweden	1	0	0	12.02.20
Sri Lanka	1	1	0	12.02.20
China	59895	6217	1369	13.02.20
Kreuzfahrtschiffe und Sonstige	175	0	0	13.02.20
Singapur	58	15	0	13.02.20
Thailand	33	12	0	13.02.20
Japan	28	9	1	13.02.20
Südkorea	28	7	0	13.02.20
Malaysia	19	3	0	13.02.20
Taiwan	18	1	0	13.02.20
Vietnam	16	7	0	13.02.20
Australien	15	8	0	13.02.20
Deutschland	14	1	0	13.02.20
USA	13	3	0	13.02.20
Frankreich	11	2	0	13.02.20
Großbritannien	9	1	0	13.02.20
Vereinigte Arabische Emirate	8	1	0	13.02.20
Kanada	7	1	0	13.02.20
Indien	3	0	0	13.02.20
Italien	3	0	0	13.02.20
Philippinen	3	1	1	13.02.20
Russland	2	2	0	13.02.20
Spanien	2	0	0	13.02.20
Belgien	1	0	0	13.02.20
Finnland	1	1	0	13.02.20
Kambodscha	1	1	0	13.02.20
Nepal	1	1	0	13.02.20
Schweden	1	0	0	13.02.20
Sri Lanka	1	1	0	13.02.20
China	66358	7977	1521	14.02.20
Kreuzfahrtschiffe und Sonstige	218	0	0	14.02.20
Singapur	67	17	0	14.02.20
Thailand	33	12	0	14.02.20
